matrix,high_br_mispreds,nnz_speedup
atmosmodm,True,False
ABACUS_shell_ud,True,False
LargeRegFile,True,False
memchip,True,False
transient,True,False
circuit5M_dc,True,False
poli3,True,True
poli4,True,True
human_gene2,True,True
offshore,True,False
as-caida,True,True
soc-sign-epinions,True,True
soc-sign-Slashdot081106,True,True
soc-sign-Slashdot090216,True,True
soc-sign-Slashdot090221,True,True
GT01R,True,False
PR02R,True,True
ww_vref_6405,True,False
xingo_afonso_itaipu,True,False
mimo8x8_system,True,False
mimo28x28_system,True,False
mimo46x46_system,True,False
juba40k,True,False
bauru5727,True,False
zeros_nopss_13k,True,False
descriptor_xingo6u,True,False
nopss_11k,True,False
xingo3012,True,False
bips98_606,True,False
bips98_1142,True,False
bips98_1450,True,True
bips07_1693,True,False
bips07_1998,True,False
bips07_2476,True,False
bips07_3078,True,False
pdb1HYS,True,True
consph,True,True
cant,True,False
mac_econ_fwd500,True,False
mc2depi,True,False
cop20k_A,True,False
webbase-1M,True,False
EternityII_E,True,True
EternityII_Etilde,True,True
EternityII_A,True,True
astro-ph,True,False
cond-mat,True,True
cond-mat-2003,True,True
cond-mat-2005,True,True
hep-th,True,True
PGPgiantcompo,True,True
kron_g500-logn16,True,True
kron_g500-logn17,True,True
HTC_336_4438,True,False
HTC_336_9129,True,False
OPF_10000,True,False
OPF_3754,True,False
OPF_6000,True,False
TSC_OPF_1047,True,True
TSC_OPF_300,True,False
N_reactome,True,True
cz2548,False,False
cz5108,True,False
cz10228,True,False
cz20468,True,False
cz40948,True,False
FX_March2010,False,True
CurlCurl_0,True,False
CurlCurl_1,True,False
CurlCurl_2,True,False
CurlCurl_3,True,False
ak2010,True,True
al2010,True,True
ar2010,True,True
az2010,True,True
ca2010,True,True
co2010,True,True
ct2010,True,True
de2010,True,True
fl2010,True,True
ga2010,True,True
hi2010,True,True
ia2010,True,True
id2010,True,True
il2010,True,True
in2010,True,True
ks2010,True,True
ky2010,True,True
la2010,True,True
ma2010,True,True
md2010,True,True
me2010,True,True
mi2010,True,True
mn2010,True,True
mo2010,True,True
ms2010,True,True
mt2010,True,True
nc2010,True,True
nd2010,True,True
ne2010,True,True
nh2010,True,True
nj2010,True,True
nm2010,True,True
nv2010,True,True
ny2010,True,True
oh2010,True,True
ok2010,True,True
or2010,True,False
pa2010,True,True
ri2010,True,True
sc2010,True,True
sd2010,True,True
tn2010,True,True
tx2010,True,True
ut2010,True,True
va2010,True,True
vt2010,True,True
wa2010,True,True
wi2010,True,True
wv2010,True,True
wy2010,True,True
